run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
122,eval,vanilla_cma,rosenbrock,20,0.0,101,200,10,ok,,200,20,13708.579648430019,1.0,0.0,0.009225845336914062
123,eval,vanilla_cma,rosenbrock,20,0.0,102,200,10,ok,,200,20,2485.949084208123,1.0,0.0,0.009796857833862305
124,eval,vanilla_cma,rosenbrock,20,0.0,103,200,10,ok,,200,20,4259.324205322371,1.0,0.0,0.010097265243530273
125,eval,vanilla_cma,rosenbrock,20,0.0,104,200,10,ok,,200,20,11076.865747772988,1.0,0.0,0.010710954666137695
126,eval,vanilla_cma,rosenbrock,20,0.0,105,200,10,ok,,200,20,8865.725303157427,1.0,0.0,0.010489702224731445
127,eval,vanilla_cma,rosenbrock,20,0.0,106,200,10,ok,,200,20,7468.241071155028,1.0,0.0,0.010924100875854492
128,eval,vanilla_cma,rosenbrock,20,0.0,107,200,10,ok,,200,20,7836.0487972245555,1.0,0.0,0.010442018508911133
129,eval,vanilla_cma,rosenbrock,20,0.0,108,200,10,ok,,200,20,4826.311158874801,1.0,0.0,0.01061105728149414
130,eval,vanilla_cma,rosenbrock,20,0.0,109,200,10,ok,,200,20,10196.9077238537,1.0,0.0,0.009630918502807617
131,eval,vanilla_cma,rosenbrock,20,0.1,100,200,10,ok,,200,20,6558.323548805862,1.0,0.0,0.011330604553222656
132,eval,vanilla_cma,rosenbrock,20,0.1,101,200,10,ok,,200,20,13708.59002385211,1.0,0.0,0.04987311363220215
133,eval,vanilla_cma,rosenbrock,20,0.1,102,200,10,ok,,200,20,2485.714749140971,1.0,0.0,0.012398958206176758
134,eval,vanilla_cma,rosenbrock,20,0.1,103,200,10,ok,,200,20,4259.306244810815,1.0,0.0,0.013501167297363281
135,eval,vanilla_cma,rosenbrock,20,0.1,104,200,10,ok,,200,20,11076.843521687568,1.0,0.0,0.013742208480834961
136,eval,vanilla_cma,rosenbrock,20,0.1,105,200,10,ok,,200,20,8865.665846234611,1.0,0.0,0.01544499397277832
137,eval,vanilla_cma,rosenbrock,20,0.1,106,200,10,ok,,200,20,7468.246595191765,1.0,0.0,0.012377023696899414
138,eval,vanilla_cma,rosenbrock,20,0.1,107,200,10,ok,,200,20,7835.991075845467,1.0,0.0,0.010925054550170898
139,eval,vanilla_cma,rosenbrock,20,0.1,108,200,10,ok,,200,20,4826.29838910517,1.0,0.0,0.012861013412475586
140,eval,vanilla_cma,rosenbrock,20,0.1,109,200,10,ok,,200,20,10196.908549399626,1.0,0.0,0.044178009033203125
141,eval,vanilla_cma,rosenbrock,20,0.2,100,200,10,ok,,200,20,6558.413870495662,1.0,0.0,0.009525060653686523
142,eval,vanilla_cma,rosenbrock,20,0.2,101,200,10,ok,,200,20,13708.539692185373,1.0,0.0,0.012231826782226562
143,eval,vanilla_cma,rosenbrock,20,0.2,102,200,10,ok,,200,20,2486.1136983870842,1.0,0.0,0.011217117309570312
144,eval,vanilla_cma,rosenbrock,20,0.2,103,200,10,ok,,200,20,4258.918052599131,1.0,0.0,0.009605169296264648
145,eval,vanilla_cma,rosenbrock,20,0.2,104,200,10,ok,,200,20,11077.112910188898,1.0,0.0,0.010026931762695312
146,eval,vanilla_cma,rosenbrock,20,0.2,105,200,10,ok,,200,20,8865.73437393857,1.0,0.0,0.009743690490722656
147,eval,vanilla_cma,rosenbrock,20,0.2,106,200,10,ok,,200,20,7468.004889927391,1.0,0.0,0.013983964920043945
148,eval,vanilla_cma,rosenbrock,20,0.2,107,200,10,ok,,200,20,7836.276043855234,1.0,0.0,0.01045680046081543
149,eval,vanilla_cma,rosenbrock,20,0.2,108,200,10,ok,,200,20,4826.143983461149,1.0,0.0,0.010924816131591797
150,eval,vanilla_cma,rosenbrock,20,0.2,109,200,10,ok,,200,20,10197.017499828427,1.0,0.0,0.015145063400268555
151,eval,vanilla_cma,rosenbrock,40,0.0,100,200,10,ok,,200,20,132942.2722288368,1.0,0.0,0.012984752655029297
152,eval,vanilla_cma,rosenbrock,40,0.0,101,200,10,ok,,200,20,379490.10267396324,1.0,0.0,0.01288294792175293
153,eval,vanilla_cma,rosenbrock,40,0.0,102,200,10,ok,,200,20,80799.58729585058,1.0,0.0,0.015772104263305664
154,eval,vanilla_cma,rosenbrock,40,0.0,103,200,10,ok,,200,20,180485.57920366258,1.0,0.0,0.012978315353393555
155,eval,vanilla_cma,rosenbrock,40,0.0,104,200,10,ok,,200,20,111075.24022128065,1.0,0.0,0.01609492301940918
156,eval,vanilla_cma,rosenbrock,40,0.0,105,200,10,ok,,200,20,110357.04713083869,1.0,0.0,0.015499114990234375
157,eval,vanilla_cma,rosenbrock,40,0.0,106,200,10,ok,,200,20,92245.02490302661,1.0,0.0,0.012805938720703125
158,eval,vanilla_cma,rosenbrock,40,0.0,107,200,10,ok,,200,20,31604.62774746975,1.0,0.0,0.01278996467590332
