slice_level,variant_id,variant_group,function,dimension,n_runs,mean_proxy_time_to_first_floor_gen,median_proxy_time_to_first_floor_gen,mean_proxy_fraction_at_floor,median_proxy_fraction_at_floor,mean_proxy_n_floor_entries,median_proxy_n_floor_entries,mean_proxy_n_floor_exits,median_proxy_n_floor_exits,mean_proxy_n_down_steps,median_proxy_n_down_steps,mean_proxy_n_up_steps,median_proxy_n_up_steps,mean_proxy_n_neutral_steps,median_proxy_n_neutral_steps,mean_proxy_sigma_min_seen,median_proxy_sigma_min_seen,mean_proxy_sigma_max_seen,median_proxy_sigma_max_seen
function_dimension,geom_k095_r010,geometry,rastrigin,10.0,300,46.653333333333336,47.0,0.5348666666666668,0.54,1.4866666666666666,1.0,0.4866666666666667,0.0,73.38333333333334,74.0,4.043333333333333,4.0,22.573333333333334,23.0,0.19999999999999998,0.2,1.9501320703556568,1.917532906423166
function_dimension,geom_k095_r010,geometry,rastrigin,20.0,300,55.416666666666664,56.0,0.44630000000000003,0.44,1.43,1.0,0.43,0.0,68.18333333333334,68.5,5.993333333333333,6.0,25.823333333333334,25.5,0.19999999999999998,0.2,1.813092302896254,1.7841381515664094
function_dimension,geom_k095_r010,geometry,rastrigin,40.0,300,63.946666666666665,64.0,0.34926666666666667,0.35,1.6,1.5,0.6033333333333334,1.0,62.78666666666667,63.0,7.443333333333333,7.0,29.77,30.0,0.19999999999999998,0.2,1.8046234902947993,1.7983372132724946
function_dimension,geom_k095_r010,geometry,rosenbrock,10.0,300,39.873333333333335,38.5,0.5583666666666667,0.58,2.0233333333333334,2.0,1.11,1.0,62.71333333333333,64.0,4.023333333333333,3.0,33.263333333333335,33.0,0.19999999999999998,0.2,1.8073217297195734,1.8014062264369946
function_dimension,geom_k095_r010,geometry,rosenbrock,20.0,300,58.05,58.0,0.40169999999999995,0.41,1.8266666666666667,2.0,0.8566666666666667,1.0,42.16,43.0,6.39,5.0,51.45,51.0,0.19999999999999998,0.2,1.7724578429527307,1.7693186514621042
function_dimension,geom_k095_r010,geometry,rosenbrock,40.0,300,92.31,94.0,0.07306666666666667,0.07,1.0466666666666666,1.0,0.33666666666666667,0.0,19.75,19.0,15.626666666666667,16.0,64.62333333333333,65.0,0.20278715317140322,0.2,1.7927279962054012,1.7929282050800024
function_dimension,geom_k095_r010,geometry,sphere,10.0,300,41.79333333333334,42.0,0.5746333333333333,0.575,2.08,2.0,1.09,1.0,55.22,56.0,8.896666666666667,9.0,35.88333333333333,36.0,0.19999999999999998,0.2,2.0281533257570263,2.0006964254898727
function_dimension,geom_k095_r010,geometry,sphere,20.0,300,64.01333333333334,64.0,0.367,0.37,1.15,1.0,0.15,0.0,32.11,32.0,19.346666666666668,19.0,48.54333333333334,48.0,0.19999999999999998,0.2,1.8810649336855985,1.8535943696230988
function_dimension,geom_k095_r010,geometry,sphere,40.0,300,99.85,101.0,0.009333333333333334,0.0,0.27666666666666667,0.0,0.07333333333333333,0.0,10.196666666666667,10.0,33.57333333333333,33.0,56.23,57.0,0.22986182735775879,0.22451827423504125,1.8220619354656693,1.8007167956632344
function_dimension,geom_k095_r020,geometry,ellipsoid_cond1e6,10.0,300,29.33,27.0,0.6071333333333333,0.635,4.38,4.0,3.44,3.0,79.91,81.5,0.67,0.0,19.42,18.0,0.39999999999999997,0.4,1.892614167301747,1.853602406788845
function_dimension,geom_k095_r020,geometry,ellipsoid_cond1e6,20.0,300,38.17,37.5,0.5812999999999999,0.6,2.47,2.0,1.47,1.0,75.88,77.0,1.51,0.0,22.61,22.0,0.39999999999999997,0.4,1.8236531067567057,1.793276075954954
