function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
rosenbrock,10,0.2,pop4x,100,8.057731884500688,67.68535828559078,55.72050125497869,0.09,0.91,1.6186995407842905e-14,8.400050939369898,2.7103806264295097e-14
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,65.82358441945792,28.988317206678627,0.26,0.74,4.0973322370456585e-05,2.0457768978905064,4.8361954273325805e-05
rosenbrock,20,0.0,pop4x,100,32.17534839079061,2328.75579322627,2268.009420651426,0.0,1.0,3.89655984509591e-18,72.37701873316213,1.2287009464468514e-17
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,69.69903672832763,27.940058249224588,0.26,0.74,1.2418346489695002e-05,2.028833773834855,1.568633240803579e-05
rosenbrock,20,0.1,pop4x,100,34.3542372111561,2328.6734251140524,2271.8079844184867,0.0,1.0,3.89655984509591e-18,67.78416912012955,1.2287009464468514e-17
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,64.56742034437076,28.174663946019255,0.24,0.76,2.172993678852733e-05,1.9944335686802714,2.6975093944378754e-05
rosenbrock,20,0.2,pop4x,100,32.3738134768236,2345.6499292931944,2308.6465717023166,0.0,1.0,3.89655984509591e-18,72.45516290419243,1.2287009464468514e-17
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,520.5422275367914,-62.47905884580223,0.58,0.42,0.05591357897020115,0.8838543367671713,0.05591357897020115
rosenbrock,40,0.0,pop4x,100,588.945718635892,25391.934112727744,24761.438282857504,0.0,1.0,3.89655984509591e-18,43.114218015779436,1.2287009464468514e-17
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,520.4781762078961,-67.62009211594906,0.59,0.41,0.03719430432353409,0.8556943825954851,0.037718167764710625
rosenbrock,40,0.1,pop4x,100,608.2524167439151,25392.10121830977,24761.4981564136,0.0,1.0,3.89655984509591e-18,41.74599314251519,1.2287009464468514e-17
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,515.8980335901931,-64.83059169289834,0.59,0.41,0.02801404950478365,0.889528555877927,0.028814450919206043
rosenbrock,40,0.2,pop4x,100,579.9679281583306,25391.89453134273,24761.119317231944,0.0,1.0,3.89655984509591e-18,43.781549459077624,1.2287009464468514e-17
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.01830198436954235,0.018294284742951097,0.0,1.0,3.89655984509591e-18,1729.4580575398058,1.2287009464468514e-17
