run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
151,tune_baseline,vanilla_cma,rosenbrock,20,0.1,30,1000,10,0.0,ok,,1000,100,74.2702059885587,1.0,0.0,1.0,0.08102297782897949
152,tune_baseline,vanilla_cma,rosenbrock,20,0.1,31,1000,10,0.0,ok,,1000,100,22.23869066681988,1.0,0.0,1.0,0.0817568302154541
153,tune_baseline,vanilla_cma,rosenbrock,20,0.1,32,1000,10,0.0,ok,,1000,100,24.322523300581075,1.0,0.0,1.0,0.07583427429199219
154,tune_baseline,vanilla_cma,rosenbrock,20,0.1,33,1000,10,0.0,ok,,1000,100,103.10946263923951,1.0,0.0,1.0,0.08477115631103516
155,tune_baseline,vanilla_cma,rosenbrock,20,0.1,34,1000,10,0.0,ok,,1000,100,23.188775090718668,1.0,0.0,1.0,0.08738994598388672
156,tune_baseline,vanilla_cma,rosenbrock,20,0.1,35,1000,10,0.0,ok,,1000,100,27.65084932977906,1.0,0.0,1.0,0.08342599868774414
157,tune_baseline,vanilla_cma,rosenbrock,20,0.1,36,1000,10,0.0,ok,,1000,100,36.36898370821505,1.0,0.0,1.0,0.07950711250305176
158,tune_baseline,vanilla_cma,rosenbrock,20,0.1,37,1000,10,0.0,ok,,1000,100,207.92464145258194,1.0,0.0,1.0,0.07119369506835938
159,tune_baseline,vanilla_cma,rosenbrock,20,0.1,38,1000,10,0.0,ok,,1000,100,24.048193621409453,1.0,0.0,1.0,0.08775615692138672
160,tune_baseline,vanilla_cma,rosenbrock,20,0.1,39,1000,10,0.0,ok,,1000,100,89.3112068705628,1.0,0.0,1.0,0.09661173820495605
161,tune_baseline,vanilla_cma,rastrigin,10,0.1,0,1000,10,0.0,ok,,1000,100,49.647046128155324,1.0,0.0,1.0,0.06581306457519531
162,tune_baseline,vanilla_cma,rastrigin,10,0.1,1,1000,10,0.0,ok,,1000,100,8.890944495116948,1.0,0.0,1.0,0.07163214683532715
163,tune_baseline,vanilla_cma,rastrigin,10,0.1,2,1000,10,0.0,ok,,1000,100,52.354728602734966,1.0,0.0,1.0,0.0644998550415039
164,tune_baseline,vanilla_cma,rastrigin,10,0.1,3,1000,10,0.0,ok,,1000,100,11.20850358095532,1.0,0.0,1.0,0.061074018478393555
165,tune_baseline,vanilla_cma,rastrigin,10,0.1,4,1000,10,0.0,ok,,1000,100,47.02039289008828,1.0,0.0,1.0,0.0644690990447998
166,tune_baseline,vanilla_cma,rastrigin,10,0.1,5,1000,10,0.0,ok,,1000,100,41.02590619279344,1.0,0.0,1.0,0.0666348934173584
167,tune_baseline,vanilla_cma,rastrigin,10,0.1,6,1000,10,0.0,ok,,1000,100,50.28515248379315,1.0,0.0,1.0,0.06813812255859375
168,tune_baseline,vanilla_cma,rastrigin,10,0.1,7,1000,10,0.0,ok,,1000,100,44.16051282327245,1.0,0.0,1.0,0.06545090675354004
169,tune_baseline,vanilla_cma,rastrigin,10,0.1,8,1000,10,0.0,ok,,1000,100,40.01071398766799,1.0,0.0,1.0,0.06724023818969727
170,tune_baseline,vanilla_cma,rastrigin,10,0.1,9,1000,10,0.0,ok,,1000,100,44.42459592792398,1.0,0.0,1.0,0.13751888275146484
171,tune_baseline,vanilla_cma,rastrigin,10,0.1,10,1000,10,0.0,ok,,1000,100,14.260181790477924,1.0,0.0,1.0,0.11953091621398926
